Month,Monthly Value,YoY Value,YoY Percent
09/01/2006 07:00:00,90.6%,2.3%,2.3%
10/01/2006 07:00:00,91.7%,2.2%,2.2%
11/01/2006 07:59:59,87.5%,1.2%,1.2%
12/01/2006 07:59:59,81.3%,-1.2%,-1.2%
01/01/2007 07:59:59,85.4%,-0.7%,-0.7%
02/01/2007 07:59:59,90.3%,0.1%,0.1%
03/01/2007 07:59:59,93.9%,-0.2%,-0.2%
04/01/2007 07:00:00,93.8%,-0.1%,-0.1%
05/01/2007 07:00:00,92.1%,2%,2%
06/01/2007 07:00:00,91.9%,3.3%,3.3%
07/01/2007 07:00:00,92%,0.9%,0.9%
08/01/2007 07:00:00,91.2%,0.5%,0.5%
09/01/2007 07:00:00,91.3%,0.7%,0.7%
10/01/2007 07:00:00,92.3%,0.6%,0.6%
11/01/2007 07:00:00,86.9%,-0.6%,-0.6%
12/01/2007 07:59:59,83.2%,1.9%,1.9%
01/01/2008 07:59:59,84.9%,-0.5%,-0.5%
02/01/2008 07:59:59,89.4%,-0.9%,-0.9%
03/01/2008 07:59:59,92.2%,-1.7%,-1.7%
04/01/2008 07:00:00,90%,-3.8%,-3.8%
05/01/2008 07:00:00,89.7%,-2.4%,-2.4%
06/01/2008 07:00:00,89.4%,-2.5%,-2.5%
07/01/2008 07:00:00,87.2%,-4.8%,-4.8%
08/01/2008 07:00:00,88.3%,-2.9%,-2.9%
09/01/2008 07:00:00,84.3%,-7%,-7%
10/01/2008 07:00:00,83.8%,-8.5%,-8.5%
11/01/2008 07:00:00,79.2%,-7.7%,-7.7%
12/01/2008 07:59:59,73.3%,-9.9%,-9.9%
01/01/2009 07:59:59,71.9%,-13%,-13%
02/01/2009 07:59:59,83.9%,-5.5%,-5.5%
03/01/2009 07:59:59,85.9%,-6.3%,-6.3%
04/01/2009 07:00:00,88%,-2%,-2%
05/01/2009 07:00:00,84.4%,-5.3%,-5.3%
06/01/2009 07:00:00,82.2%,-7.2%,-7.2%
07/01/2009 07:00:00,84.2%,-3%,-3%
08/01/2009 07:00:00,81.4%,-6.9%,-6.9%
09/01/2009 07:00:00,83.2%,-1.1%,-1.1%
10/01/2009 07:00:00,82.6%,-1.2%,-1.2%
11/01/2009 07:00:00,78.4%,-0.8%,-0.8%
12/01/2009 07:59:59,71.3%,-2%,-2%
01/01/2010 07:59:59,71.1%,-0.8%,-0.8%
02/01/2010 07:59:59,79.7%,-4.2%,-4.2%
03/01/2010 07:59:59,82.4%,-3.5%,-3.5%
04/01/2010 07:00:00,84%,-4%,-4%
05/01/2010 07:00:00,82.6%,-1.8%,-1.8%
06/01/2010 07:00:00,82.1%,-0.1%,-0.1%
07/01/2010 07:00:00,84%,-0.2%,-0.2%
08/01/2010 07:00:00,82%,0.6%,0.6%
